Date,Open,High,Low,Close,Adj Close,Volume
19-6-3,1065.5,1065.5,1025,1036.22998,1036.22998,5130600
19-6-4,1042.90002,1056.05005,1033.68994,1053.05005,1053.05005,2833500
19-6-5,1051.54004,1053.55005,1030.48999,1042.21997,1042.21997,2168400
19-6-6,1044.98999,1047.48999,1033.69995,1044.33997,1044.33997,1703200
19-6-7,1050.63001,1070.92004,1048.40002,1066.04004,1066.04004,1802400
19-6-10,1072.97998,1092.66003,1072.32202,1080.38001,1080.38001,1464200
19-6-11,1093.97998,1101.98999,1077.60303,1078.71997,1078.71997,1436700
19-6-12,1078,1080.93005,1067.54004,1077.03003,1077.03003,1061000
19-6-13,1083.64002,1094.17004,1080.15002,1088.77002,1088.77002,1057700
19-6-14,1086.42004,1092.68994,1080.172,1085.34998,1085.34998,1111500
19-6-17,1086.28003,1099.18005,1086.28003,1092.5,1092.5,941600
19-6-18,1109.68994,1116.39002,1098.98999,1103.59998,1103.59998,1386700
19-6-19,1105.59998,1107,1093.47998,1102.32996,1102.32996,1338800
19-6-20,1119.98999,1120.12,1104.73999,1111.42004,1111.42004,1262000
19-6-21,1109.23999,1124.10999,1108.07996,1121.88001,1121.88001,1947600
19-6-24,1119.60999,1122,1111.01001,1115.52002,1115.52002,1395600
19-6-25,1112.66003,1114.34998,1083.80005,1086.34998,1086.34998,1546900
19-6-26,1086.5,1092.96997,1072.23999,1079.80005,1079.80005,1810900
19-6-27,1084,1087.09998,1075.29004,1076.01001,1076.01001,1004300
19-6-28,1076.39002,1081,1073.37,1080.91003,1080.91003,1693200